Tong_HD,Tong_HD_Tra,Ty_Le_Tra_Hang,Tieu_Bang,Danh_Muc
22,0,0.0000,Mississippi,Technology
8,0,0.0000,Iowa,Technology
6,0,0.0000,Iowa,Furniture
60,0,0.0000,"South Carolina","Office Supplies"
8,0,0.0000,Nebraska,Furniture
12,0,0.0000,Nebraska,Technology
30,0,0.0000,"New Hampshire","Office Supplies"
12,0,0.0000,"District of Columbia","Office Supplies"
6,0,0.0000,"District of Columbia",Furniture
2,0,0.0000,"District of Columbia",Technology
28,0,0.0000,Arkansas,Technology
18,0,0.0000,Arkansas,Furniture
22,0,0.0000,Alabama,Furniture
16,0,0.0000,Nevada,Furniture
18,0,0.0000,Louisiana,Furniture
12,0,0.0000,Nevada,Technology
34,0,0.0000,Kansas,"Office Supplies"
26,0,0.0000,Oklahoma,Furniture
22,0,0.0000,Connecticut,Technology
6,0,0.0000,Vermont,Technology
6,0,0.0000,Maine,Technology
2,0,0.0000,Maine,Furniture
14,0,0.0000,"South Dakota","Office Supplies"
4,0,0.0000,"South Dakota",Furniture
4,0,0.0000,"South Dakota",Technology
12,0,0.0000,"South Carolina",Technology
22,0,0.0000,Idaho,"Office Supplies"
10,0,0.0000,Kansas,Technology
14,0,0.0000,"North Dakota","Office Supplies"
8,0,0.0000,Maine,"Office Supplies"
2,0,0.0000,Vermont,Furniture
4,0,0.0000,Kansas,Furniture
2,0,0.0000,Wyoming,Furniture
2,0,0.0000,Montana,Furniture
6,0,0.0000,"West Virginia","Office Supplies"
4,0,0.0000,Vermont,"Office Supplies"
